Riddle,Answer
What number becomes zero when you subtract 15 from half of it?,30
"I am a three-digit number. My tens digit is five more than my ones digit, and my hundreds digit is eight less than my tens digit. What number am I?",194
"The sum of two numbers is 20, and their difference is 4. What are the numbers?",12 and 8
"A farmer has 17 sheep, and all but 9 run away. How many are left?",9
I am a number. Multiply me by 4 and subtract 6 to get 18. What number am I?,6
"I am a two-digit number. My tens digit is double my ones digit, and my digits sum to 12. What number am I?",48
Divide 30 by half and add 10. What do you get?,70
A basket contains 5 apples. You take away 3. How many apples do you have?,3
"If two’s company and three’s a crowd, what are four and five?",9
I am a number. Double me and subtract 3 to get 9. What number am I?,6
A clock shows 3:15. What is the angle between the hour and minute hand?,7.5 degrees
"A grandfather, two fathers, and two sons go fishing. They catch exactly three fish, one for each. How?","They are grandfather, father, and son (3 generations)."
How can you make six into an odd number?,Remove the 's' to get 'ix' (Roman numeral for 9).
"A man buys a horse for $60, sells it for $70, buys it back for $80, and sells it again for $90. How much did he earn?",$20
"A train leaves New York at 100 mph. Another leaves Los Angeles at 110 mph on the same track. When they meet, which train is closer to New York?",They are at the same point.
I add five to nine and get two. How is this possible?,"It’s a clock. 9+5=14, which is 2 on a 12-hour clock."
A snail climbs 10 feet during the day but slips 6 feet at night. How many days to reach 30 feet?,7 days
You have 8 balls of equal size. One is heavier. How many weighings to find the heavier one?,Two weighings
"The day before yesterday, I was 25. Next year, I’ll be 28. When is my birthday?",December 31st
Which weighs more: a pound of feathers or a pound of bricks?,Same weight
"If three cats can catch three mice in three minutes, how long for 100 cats to catch 100 mice?",3 minutes
"A boy has as many sisters as brothers, but each sister has half as many sisters as brothers. How many siblings?","4 brothers, 3 sisters"
Two fathers and two sons buy three apples. Each gets one. How?,"Grandfather, father, and son"
"What is the next number in the sequence: 2, 6, 12, 20, 30, ...?",42
I am a number. Multiply me by 6 and subtract 5 to get 25. What number am I?,5
"If you rearrange the letters of ‘NEW DOOR,’ what do you get?",'ONE WORD'
There are three coins on a table. Two of them are heads up. You turn over two coins at a time. Can you get all heads up?,No
What is the sum of the first 100 natural numbers?,5050
How many times can you subtract 10 from 100?,"Once, then it's 90."
A farmer has chickens and cows. There are 20 heads and 56 legs. How many chickens and cows?,"12 chickens, 8 cows"
